match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220513-W-Rome-QF-Iga_Swiatek-Bianca_Andreescu,Iga Swiatek,Bianca Andreescu,R,R,W,20220513,Rome,QF,14:40,Grandstand,Clay,Cecilia Alberti,3,1,Zindaras
20220512-W-Rome-R16-Petra_Martic-Bianca_Andreescu,Petra Martic,Bianca Andreescu,R,R,W,20220512,Rome,R16,,,Clay,,3,1,Zindaras
20220512-W-Rome-R16-Iga_Swiatek-Victoria_Azarenka,Iga Swiatek,Victoria Azarenka,R,R,W,20220512,Rome,R16,,,Clay,Pierre Bacchi,3,1,Elephent
20220511-W-Rome-R32-Elena_Gabriela_Ruse-Iga_Swiatek,Elena Gabriela Ruse,Iga Swiatek,R,R,W,20220511,Rome,R32,,,Clay,Cecilia Alberti,3,1,Elephant
20220511-W-Rome-R32-Bianca_Andreescu-Nuria_Parrizas_Diaz,Bianca Andreescu,Nuria Parrizas Diaz,R,R,W,20220511,Rome,R32,,3,Clay,Miriam Bley,3,1,Zindaras
20220510-W-Rome-R64-Emma_Raducanu-Bianca_Andreescu,Emma Raducanu,Bianca Andreescu,R,R,W,20220510,Rome,R64,17:30,Grand Stand Arena,Clay,Cecilia Alberti,3,1,Zindaras
20220505-W-Madrid-SF-Ons_Jabeur-Ekaterina_Alexandrova,Ons Jabeur,Ekaterina Alexandrova,R,R,W,20220505,Madrid,SF,15:00,Santana,Clay,Julie Kjendlie,3,1,Zindaras
20220503-W-Madrid-R16-Sara_Sorribes_Tormo-Daria_Kasatkina,Sara Sorribes Tormo,Daria Kasatkina,R,R,W,20220503,Madrid,R16,14:50,Santana,Clay,Thomas Sweeney,3,1,Zindaras
20220503-W-Madrid-R16-Jessica_Pegula-Bianca_Andreescu,Jessica Pegula,Bianca Andreescu,R,R,W,20220503,Madrid,R16,16:30,Arantxa Sanchez Stadium,Clay,Marta Mrozinska,3,1,Zindaras
20220501-W-Madrid-R32-Naomi_Osaka-Sara_Sorribes_Tormo,Naomi Osaka,Sara Sorribes Tormo,R,R,W,20220501,Madrid,R32,19:15,Manolo Santana Stadium,Clay,Kader Nouni,3,1,Zindaras
20220501-W-Madrid-R32-Danielle_Collins-Bianca_Andreescu,Danielle Collins,Bianca Andreescu,R,R,W,20220501,Madrid,R32,11:10,Santana,Clay,Alessandro Germani,3,1,Zindaras
20220501-W-ITF_Santa_Margherita_Di_Pula-F-Arantxa_Rus-Marie_Benoit,Arantxa Rus,Marie Benoit,L,L,W,20220501,ITF Santa Margherita Di Pula,F,,,Clay,,3,1,Zindaras
20220429-W-Madrid-R64-Danielle_Collins-Monica_Puig,Danielle Collins,Monica Puig,R,R,W,20220429,Madrid,R64,14:05,Sanchez,Clay,Miriam Bley,3,1,Zindaras
20220429-W-Madrid-R64-Alison_Riske-Bianca_Andreescu,Alison Riske,Bianca Andreescu,R,R,W,20220429,Madrid,R64,15:45,Arantxa Sanchez Stadium,Clay,Thomas Sweeney,3,1,Zindaras
20220424-W-Stuttgart-F-Iga_Swiatek-Aryna_Sabalenka,Iga Swiatek,Aryna Sabalenka,R,R,W,20220424,Stuttgart,F,,,Clay,Marija Cicak,3,1,Elephant
20220423-W-Stuttgart-SF-Iga_Swiatek-Liudmila_Samsonova,Iga Swiatek,Liudmila Samsonova,R,R,W,20220423,Stuttgart,SF,,,Clay,Kader Nouni,3,1,Elephant
20220422-W-Stuttgart-QF-Emma_Raducanu-Iga_Swiatek,Emma Raducanu,Iga Swiatek,R,R,W,20220422,Stuttgart,QF,,,Clay,Timo janzen,3,1,Elephant
20220421-W-Stuttgart-R16-Aryna_Sabalenka-Bianca_Andreescu,Aryna Sabalenka,Bianca Andreescu,R,R,W,20220421,Stuttgart,R16,,Center,Clay,Julie Kjendlie,3,1,Zindaras
20220420-W-Stuttgart-R16-Iga_Swiatek-Eva_Lys,Iga Swiatek,Eva Lys,R,R,W,20220420,Stuttgart,R16,,,Clay,Marija Cicak,3,1,Elephant
20220420-W-Istanbul-R32-Nikola_Bartunkova-Anastasia_Potapova,Nikola Bartunkova,Anastasia Potapova,R,R,W,20220420,Istanbul,R32,,,Clay,Serdar Sumer,3,1,Elephant
20220419-W-Stuttgart-R32-Bianca_Andreescu-Jule_Niemeier,Bianca Andreescu,Jule Niemeier,R,R,W,20220419,Stuttgart,R32,20:20,Centre Court,Clay,Marija Cicak,3,1,Zindaras
