match_id,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,GP2,40,20,33,3,11,3,2,5,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,Deuce1,20,14,13,2,1,3,3,2,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,Deuce2,35,22,23,2,9,3,4,5,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,STotal1,59,39,38,2,9,10,7,9,2
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,STotal2,95,55,68,5,24,10,10,13,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,BP1,8,5,2,1,0,1,1,2,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,BP2,8,5,5,0,1,1,0,1,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,GP1,16,10,8,1,4,3,1,1,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,GP2,14,9,9,0,3,0,1,1,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,Deuce1,11,7,8,1,2,2,1,3,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,Deuce2,12,8,8,0,1,2,1,2,1
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,STotal1,35,22,18,3,6,6,3,6,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,STotal2,34,22,22,0,5,3,2,4,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,BP1,2,2,1,1,0,1,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,BP2,10,8,2,0,3,0,2,0,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,GP1,16,10,13,1,3,3,1,2,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,GP2,13,9,7,0,4,2,0,2,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,Deuce1,8,6,3,0,2,2,1,0,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,Deuce2,13,9,6,1,1,2,4,1,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,STotal1,26,18,17,2,5,6,2,2,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,STotal2,36,26,15,1,8,4,6,3,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,BP1,4,1,2,0,1,0,0,1,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,BP2,0,0,0,0,0,0,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,GP1,7,6,4,0,2,2,1,1,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,GP2,12,9,7,2,2,4,0,1,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Deuce1,6,4,3,0,1,0,1,1,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Deuce2,1,1,0,0,0,0,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,STotal1,17,11,9,0,4,2,2,3,2
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,STotal2,13,10,7,2,2,4,0,1,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,BP1,7,7,7,0,3,2,0,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,BP2,4,1,3,0,0,1,0,3,0
