match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Z,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,O,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Total,205,39,11,3,25,48,81,124
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Fside,114,26,8,1,17,22,46,68
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Bside,91,13,3,2,8,26,35,56
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Fgs,113,25,7,1,17,22,45,68
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Bgs,89,12,2,2,8,26,34,55
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Base,203,37,9,3,25,48,79,124
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Net,2,2,2,0,0,0,2,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Gs,192,37,9,3,25,46,76,116
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Dr,1,0,0,0,0,0,0,1
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Vo,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Ov,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,F,110,25,7,1,17,21,44,66
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,B,82,12,2,2,8,25,32,50
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,R,3,0,0,0,0,1,1,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,S,7,0,0,0,0,1,2,5
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Y,1,0,0,0,0,0,0,1
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Z,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,O,1,1,1,0,0,0,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Total,431,88,32,17,39,122,202,229
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Fside,220,53,21,13,19,65,101,119
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Bside,208,32,10,4,18,57,100,108
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Fgs,202,45,14,12,19,64,90,112
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Bgs,195,29,8,4,17,55,94,101
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Base,410,75,22,17,36,122,190,220
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Net,18,10,9,0,1,0,11,7
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Gs,387,74,22,16,36,118,181,206
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Dr,3,1,0,1,0,0,2,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Lo,10,0,0,0,0,3,4,6
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Vo,15,9,8,0,1,0,10,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Ov,1,0,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Hv,1,1,1,0,0,0,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Sw,1,0,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,F,200,45,14,12,19,63,90,110
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,B,187,29,8,4,17,55,91,96
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,R,2,0,0,0,0,1,0,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,S,8,0,0,0,0,0,3,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,U,2,1,0,1,0,0,1,1
