match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,BPO1,3,2,0,0,0
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,BPO2,14,4,1,2,2
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,GPF1,19,7,2,4,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,GPF2,14,4,2,0,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,DeuceR1,4,2,0,1,0
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,DeuceR2,15,9,3,2,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,RTotal1,26,11,2,5,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,RTotal2,43,17,6,4,6
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,BPO1,13,8,3,0,2
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,BPO2,20,10,3,1,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,GPF1,13,7,1,3,3
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,GPF2,9,4,0,2,1
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,DeuceR1,9,6,2,0,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,DeuceR2,12,7,5,0,1
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,RTotal1,35,21,6,3,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,RTotal2,41,21,8,3,7
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,BPO1,16,5,1,1,1
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,BPO2,10,7,1,3,0
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,GPF1,15,5,0,2,2
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,GPF2,18,9,2,1,8
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,DeuceR1,9,5,2,0,0
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,DeuceR2,8,4,0,0,3
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,RTotal1,40,15,3,3,3
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,RTotal2,36,20,3,4,11
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,BPO1,17,7,1,1,7
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,BPO2,10,6,2,0,1
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,GPF1,19,8,5,0,5
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,GPF2,21,10,0,2,4
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,DeuceR1,22,12,4,2,7
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,DeuceR2,15,6,2,0,4
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,RTotal1,58,27,10,3,19
20140116-W-Australian_Open-R64-Galina_Voskoboeva-Carla_Suarez_Navarro,RTotal2,46,22,4,2,9
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,BPO1,10,1,0,0,0
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,BPO2,9,6,2,3,1
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,GPF1,8,2,0,1,3
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,GPF2,6,4,0,1,0
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,DeuceR1,10,3,0,1,2
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,DeuceR2,6,3,1,0,1
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,RTotal1,28,6,0,2,5
20140123-W-Australian_Open-SF-Agnieszka_Radwanska-Dominika_Cibulkova,RTotal2,21,13,3,4,2
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,BPO1,9,5,1,3,1
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,BPO2,1,0,0,0,0
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,GPF1,3,2,1,1,1
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,GPF2,7,0,0,0,4
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,DeuceR1,9,6,2,2,1
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,DeuceR2,5,1,0,0,2
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,RTotal1,21,13,4,6,3
20140118-W-Australian_Open-R32-Dominika_Cibulkova-Carla_Suarez_Navarro,RTotal2,13,1,0,0,6
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,BPO1,9,5,1,1,1
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,BPO2,3,1,0,0,0
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,GPF1,4,2,1,0,2
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,GPF2,8,1,0,1,3
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,DeuceR1,3,2,0,0,0
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,DeuceR2,1,0,0,0,1
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,RTotal1,16,9,2,1,3
20140122-W-Australian_Open-QF-Dominika_Cibulkova-Simona_Halep,RTotal2,12,2,0,1,4
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,BPO1,14,7,0,2,2
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,BPO2,10,5,3,0,1
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,GPF1,13,7,2,0,1
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,GPF2,12,4,1,1,4
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,DeuceR1,14,7,1,0,3
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,DeuceR2,3,0,0,0,2
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,RTotal1,41,21,3,2,6
20140120-W-Australian_Open-R16-Dominika_Cibulkova-Maria_Sharapova,RTotal2,25,9,4,1,7
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,BPO1,9,5,3,0,2
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,BPO2,5,2,0,1,0
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,GPF1,9,6,6,0,3
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,GPF2,10,3,0,1,1
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,DeuceR1,9,3,2,1,5
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,DeuceR2,9,5,0,0,0
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,RTotal1,27,14,11,1,10
20140113-W-Australian_Open-R128-Julia_Goerges-Sara_Errani,RTotal2,24,10,0,2,1
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,BPO1,4,2,1,1,2
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,BPO2,15,6,1,0,2
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,GPF1,9,2,0,0,3
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,GPF2,9,5,2,0,1
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,DeuceR1,5,1,0,0,4
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,DeuceR2,10,6,2,0,1
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,RTotal1,18,5,1,1,9
20140117-W-Australian_Open-R32-Mona_Barthel-Flavia_Pennetta,RTotal2,34,17,5,0,4
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,BPO1,6,2,0,0,1
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,GPF1,10,3,0,0,2
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,GPF2,11,1,0,1,4
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,DeuceR1,12,3,0,0,3
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,DeuceR2,4,0,0,0,0
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,RTotal1,28,8,0,0,6
20140115-W-Australian_Open-R64-Flavia_Pennetta-Monica_Puig,RTotal2,15,1,0,1,4
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,BPO1,8,4,1,0,1
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,BPO2,12,6,1,1,1
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,GPF1,9,1,0,1,3
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,GPF2,13,7,1,1,1
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,DeuceR1,7,4,2,0,1
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,DeuceR2,14,8,2,2,2
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,RTotal1,24,9,3,1,5
20140120-W-Australian_Open-R16-Jelena_Jankovic-Simona_Halep,RTotal2,39,21,4,4,4
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,BPO1,7,3,1,0,2
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,BPO2,10,6,4,1,1
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,GPF1,14,8,2,2,0
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,GPF2,6,3,2,1,3
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,DeuceR1,14,3,1,0,0
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,DeuceR2,6,2,1,1,1
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,RTotal1,35,14,4,2,2
20140123-W-Australian_Open-SF-Eugenie_Bouchard-Na_Li,RTotal2,22,11,7,3,5
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,BPO1,14,6,2,1,3
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,BPO2,6,4,1,0,0
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,GPF1,8,5,2,2,2
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,GPF2,8,2,0,0,3
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,DeuceR1,13,6,1,2,1
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,DeuceR2,6,4,0,2,0
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,RTotal1,35,17,5,5,6
20140118-W-Australian_Open-R32-Maria_Sharapova-Alize_Cornet,RTotal2,20,10,1,2,3
