match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4D,10,1,8,1,1,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4A,12,3,8,5,1,0,1,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5D,8,0,7,3,1,0,1,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5A,5,0,5,2,0,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6D,7,1,5,2,0,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6A,6,2,4,2,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Total,122,0,0,0,8,3,4,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,v1st,95,0,0,0,4,1,3,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,v2nd,27,0,0,0,4,2,1,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,fh,64,0,0,0,5,2,3,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,bh,55,0,0,0,3,1,1,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,gs,118,0,0,0,8,3,4,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,sl,1,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,D,63,0,0,0,6,2,3,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,A,59,0,0,0,2,1,1,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4,26,0,0,0,1,0,1,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5,55,0,0,0,7,3,3,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6,39,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4D,18,0,0,0,1,0,1,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4A,8,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5D,26,0,0,0,5,2,2,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5A,29,0,0,0,2,1,1,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6D,18,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6A,21,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Total,78,0,0,0,3,1,1,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,v1st,50,0,0,0,1,0,0,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,v2nd,28,0,0,0,2,1,1,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,fh,36,0,0,0,1,1,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,bh,41,0,0,0,2,0,1,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,gs,64,0,0,0,3,1,1,1,0
