match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,first_in,dfs
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,6a,48,29,0,0,2,9,25,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,d,67,43,1,2,6,17,48,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,a,61,36,2,2,5,12,51,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,4,54,35,2,2,7,15,47,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,5,26,14,0,0,1,1,20,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,6,48,30,1,2,3,13,32,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,4d,21,14,1,2,2,7,21,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,4a,33,21,1,0,5,8,26,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,5d,15,9,0,0,1,1,10,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,5a,11,5,0,0,0,0,10,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,6d,31,20,0,0,3,9,17,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,6a,17,10,1,2,0,4,15,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,d,33,19,1,0,3,5,23,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,a,28,19,0,0,7,8,19,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,4,14,6,0,0,4,5,10,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,5,33,22,0,0,4,5,22,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,6,14,10,1,0,2,3,10,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,4d,5,1,0,0,0,1,4,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,4a,9,5,0,0,4,4,6,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,5d,18,11,0,0,2,2,13,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,5a,15,11,0,0,2,3,9,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,6d,10,7,1,0,1,2,6,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,6a,4,3,0,0,1,1,4,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,d,39,26,3,0,4,14,24,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,a,37,25,1,0,2,6,30,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,4,22,14,2,0,2,9,18,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,5,27,19,0,0,3,5,13,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,6,27,18,2,0,1,6,23,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,4d,15,9,1,0,1,6,11,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,4a,7,5,1,0,1,3,7,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,5d,17,12,0,0,2,4,7,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,5a,10,7,0,0,1,1,6,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,6d,7,5,2,0,1,4,6,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,6a,20,13,0,0,0,2,17,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,d,58,41,6,0,5,20,36,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,a,54,35,5,3,3,18,40,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,4,44,31,7,2,4,22,36,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,5,18,11,0,0,1,2,6,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,6,50,34,4,1,3,14,34,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,4d,20,14,4,0,2,10,18,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,4a,24,17,3,2,2,12,18,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,5d,9,5,0,0,1,1,3,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,5a,9,6,0,0,0,1,3,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,6d,29,22,2,0,2,9,15,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,6a,21,12,2,1,1,5,19,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,d,55,31,5,4,2,13,38,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,a,49,33,5,0,4,12,24,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,4,39,26,5,0,3,9,27,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,5,15,8,0,0,0,3,1,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,6,50,30,5,4,3,13,34,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,4d,18,10,1,0,1,2,15,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,4a,21,16,4,0,2,7,12,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,5d,3,2,0,0,0,1,0,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,5a,12,6,0,0,0,2,1,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,6d,34,19,4,4,1,10,23,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,6a,16,11,1,0,2,3,11,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,d,86,49,4,1,9,22,60,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,a,82,52,3,0,6,20,53,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,4,69,38,1,0,7,16,50,2
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,5,19,14,0,0,1,4,9,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,6,80,49,6,1,7,22,54,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,4d,27,13,1,0,3,5,23,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,4a,42,25,0,0,4,11,27,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,5d,7,5,0,0,0,1,2,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,5a,12,9,0,0,1,3,7,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,6d,52,31,3,1,6,16,35,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,6a,28,18,3,0,1,6,19,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,d,73,49,5,4,15,29,48,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,a,68,46,13,3,11,35,42,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,4,54,41,8,3,13,32,38,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,5,23,11,0,1,3,6,10,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,6,64,43,10,3,10,26,42,2
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,4d,26,21,3,2,9,17,21,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,4a,28,20,5,1,4,15,17,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,5d,13,6,0,1,0,2,8,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,5a,10,5,0,0,3,4,2,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,6d,34,22,2,1,6,10,19,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,6a,30,21,8,2,4,16,23,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,d,23,20,3,3,3,15,17,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,a,17,12,2,0,2,6,10,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,4,21,17,3,1,2,13,15,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,5,2,1,0,0,0,0,0,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,6,17,14,2,2,3,8,12,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,4d,15,13,1,1,2,10,11,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,4a,6,4,2,0,0,3,4,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,5d,2,1,0,0,0,0,0,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,6d,6,6,2,2,1,5,6,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,6a,11,8,0,0,2,3,6,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,d,22,11,1,0,5,7,16,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,a,19,8,0,1,1,3,14,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,4,15,7,1,0,1,3,13,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,5,6,2,0,0,1,2,3,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,6,20,10,0,1,4,5,14,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,4d,1,1,1,0,0,1,1,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,4a,14,6,0,0,1,2,12,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,5d,4,2,0,0,1,2,3,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,5a,2,0,0,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,6d,17,8,0,0,4,4,12,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,6a,3,2,0,1,0,1,2,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,d,84,56,5,4,10,24,59,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,a,79,52,4,1,10,23,54,2
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,4,59,41,4,3,8,20,41,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,5,23,15,0,1,3,7,9,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,6,81,52,5,1,9,20,63,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,4d,42,30,0,3,5,13,29,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,4a,17,11,4,0,3,7,12,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,5d,12,7,0,1,1,2,6,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,5a,11,8,0,0,2,5,3,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,6d,30,19,5,0,4,9,24,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,6a,51,33,0,1,5,11,39,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,d,102,67,5,11,12,33,69,3
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,a,100,53,5,0,19,29,74,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,4,60,33,1,3,11,19,39,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,5,54,31,0,0,8,11,37,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,6,88,56,9,8,12,32,67,2
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,4d,23,14,1,3,3,7,15,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,4a,37,19,0,0,8,12,24,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,5d,25,17,0,0,4,6,17,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,5a,29,14,0,0,4,5,20,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,6d,54,36,4,8,5,20,37,2
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,6a,34,20,5,0,7,12,30,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,d,44,30,3,0,5,19,23,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,a,41,22,4,0,5,15,21,5
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,4,37,21,3,0,3,14,22,4
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,5,31,16,0,0,5,8,9,1
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,6,17,15,4,0,2,12,13,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,4d,14,10,0,0,2,6,11,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,4a,23,11,3,0,1,8,11,4
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,5d,19,9,0,0,3,5,4,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,5a,12,7,0,0,2,3,5,1
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,6d,11,11,3,0,0,8,8,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,6a,6,4,1,0,2,4,5,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,d,43,25,0,0,5,9,31,4
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,a,38,22,1,0,4,10,24,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,4,14,11,0,0,4,4,12,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,5,58,29,0,0,3,12,34,6
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,6,9,7,1,0,2,3,9,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,4d,11,8,0,0,3,3,10,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,4a,3,3,0,0,1,1,2,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,5d,28,15,0,0,2,6,17,4
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,5a,30,14,0,0,1,6,17,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,6d,4,2,0,0,0,0,4,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,6a,5,5,1,0,2,3,5,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,d,36,28,3,0,6,14,19,3
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,a,32,23,2,2,2,10,17,2
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,4,22,18,3,2,3,12,14,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,5,27,18,0,0,4,5,8,4
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,6,19,15,2,0,1,7,14,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,4d,11,9,3,0,2,7,9,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,4a,11,9,0,2,1,5,5,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,5d,17,13,0,0,3,4,5,3
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,5a,10,5,0,0,1,1,3,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,6d,8,6,0,0,1,3,5,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,6a,11,9,2,0,0,4,9,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,d,42,23,5,3,3,12,23,2
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,a,41,28,1,3,7,15,24,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,4,31,23,5,3,5,15,20,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,5,25,14,0,2,2,6,10,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,6,27,14,1,1,3,6,17,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,4d,12,7,4,1,2,7,9,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,4a,19,16,1,2,3,8,11,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,5d,11,6,0,1,0,1,4,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,5a,14,8,0,1,2,5,6,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,6d,19,10,1,1,1,4,10,1
