match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Daria Kasatkina,F,55,23,15,25,3
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Daria Kasatkina,B,64,24,16,14,0
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Daria Kasatkina,S,6,13,3,0,0
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,Total,79,49,31,13,1
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,F,48,27,16,8,1
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,B,30,22,15,5,0
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,S,1,0,0,0,0
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,Total,100,46,12,24,1
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,F,56,18,5,18,1
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,B,40,26,7,6,0
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,S,4,2,0,0,0
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,Total,76,52,18,21,4
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,F,20,14,11,10,4
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,B,49,30,6,9,0
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,S,7,8,1,2,0
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,Total,75,38,25,18,1
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,F,11,8,7,8,1
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,B,58,27,17,10,0
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,S,6,3,1,0,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,Total,34,14,15,3,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,F,13,2,3,1,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,B,21,11,10,2,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,S,0,1,2,0,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,Total,36,11,9,6,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,F,18,3,6,4,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,B,18,8,3,1,0
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,S,0,0,0,1,0
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,Total,91,35,18,35,2
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,F,54,16,10,24,2
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,B,36,19,8,11,0
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,S,1,0,0,0,0
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,Total,54,66,19,22,2
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,F,32,29,13,18,2
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,B,21,33,5,4,0
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,S,1,4,1,0,0
