match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2,Approach,14,8,4,2,1,2,2,77
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2,NetPointsRallies,13,8,5,2,2,2,1,78
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2,ApproachRallies,8,5,2,2,1,1,1,50
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1,NetPoints,15,10,7,3,2,1,2,114
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1,Approach,11,6,4,2,2,1,2,62
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1,NetPointsRallies,15,10,7,3,2,1,2,114
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1,ApproachRallies,11,6,4,2,2,1,2,62
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2,NetPoints,5,4,4,0,0,1,0,49
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2,Approach,3,2,2,0,0,1,0,38
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2,NetPointsRallies,5,4,4,0,0,1,0,49
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2,ApproachRallies,3,2,2,0,0,1,0,38
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1,NetPoints,13,11,5,3,0,1,0,99
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1,Approach,12,10,4,3,0,1,0,91
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1,NetPointsRallies,11,10,4,3,0,1,0,92
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1,ApproachRallies,10,9,3,3,0,1,0,84
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2,NetPoints,2,2,2,0,0,0,0,14
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2,Approach,1,1,1,0,0,0,0,7
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2,NetPointsRallies,2,2,2,0,0,0,0,14
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2,ApproachRallies,1,1,1,0,0,0,0,7
