match_id,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2 2,1,11,0,1,13,0,13,0,19,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1 Total,11,17,8,11,10,11,17,11,9,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1 1,9,5,5,5,3,9,0,0,0,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1 2,2,12,3,6,7,2,17,11,9,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2 Total,12,11,19,19,14,8,17,8,11,1,0,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2 1,9,4,10,11,6,7,0,0,0,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2 2,3,7,9,8,8,1,17,8,11,1,0,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,1 Total,12,4,16,12,8,9,13,6,12,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,1 1,9,3,6,7,3,7,0,0,0,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,1 2,3,1,10,5,5,2,13,6,12,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2 Total,16,5,9,9,8,9,9,7,8,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2 1,13,3,4,3,3,7,0,0,0,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2 2,3,2,5,6,5,2,9,7,8,0,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1 Total,18,13,6,13,14,8,6,5,13,2,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1 1,16,4,6,11,6,7,0,0,0,0,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1 2,2,9,0,2,8,1,6,5,13,2,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2 Total,5,19,2,7,8,9,8,2,7,0,0,1
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2 1,5,7,1,5,6,9,0,0,0,0,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2 2,0,12,1,2,2,0,8,2,7,0,0,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1 Total,5,21,10,9,13,7,17,11,6,1,0,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1 1,4,7,5,6,4,6,0,0,0,0,0,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1 2,1,14,5,3,9,1,17,11,6,1,0,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2 Total,14,7,12,10,15,5,8,13,10,0,0,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2 1,10,0,10,7,4,4,0,0,0,0,0,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2 2,4,7,2,3,11,1,8,13,10,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1 Total,9,23,7,4,26,7,17,2,16,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1 1,7,12,5,2,13,5,0,0,0,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,1 2,2,11,2,2,13,2,17,2,16,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2 Total,3,11,15,24,2,0,4,3,6,2,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2 1,3,7,10,20,1,0,0,0,0,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,2 2,0,4,5,4,1,0,4,3,6,2,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1 Total,14,9,7,6,9,11,10,7,4,1,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1 1,12,2,7,5,1,9,0,0,0,0,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,1 2,2,7,0,1,8,2,10,7,4,1,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2 Total,1,7,20,16,12,0,4,3,11,0,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2 1,0,3,16,12,9,0,0,0,0,0,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,2 2,1,4,4,4,3,0,4,3,11,0,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1 Total,12,15,9,19,10,5,12,4,9,2,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1 1,10,5,7,15,5,4,0,0,0,0,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1 2,2,10,2,4,5,1,12,4,9,2,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2 Total,4,19,14,13,20,2,15,7,14,1,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2 1,3,10,7,6,10,1,0,0,0,0,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2 2,1,9,7,7,10,1,15,7,14,1,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,1 Total,15,4,10,13,0,12,7,8,2,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,1 1,11,2,7,10,0,7,0,0,0,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,1 2,4,2,3,3,0,5,7,8,2,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2 Total,8,0,17,13,1,4,3,9,7,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2 1,7,0,8,8,0,4,0,0,0,0,0,0
