20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S-II,2,0,0,0,0,1,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,Total,127,152,21,30,3
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F,63,47,11,23,3
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,B,57,63,7,6,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,S,7,42,3,1,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F-XC,63,5,2,1,2,34,29
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F-DTM,47,1,0,0,1,16,31
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F-DTL,11,3,1,1,1,6,5
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F-IO,23,3,0,1,2,12,11
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,F-II,3,0,0,0,0,2,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,B-XC,57,5,0,1,4,21,36
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,B-DTM,63,6,0,0,6,26,37
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,B-DTL,7,1,0,0,1,2,5
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,B-IO,6,1,0,0,1,4,2
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,S-XC,7,1,0,0,1,3,4
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,S-DTM,42,3,0,0,3,15,27
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,S-DTL,3,0,0,0,0,2,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,1,S-IO,1,0,0,0,0,0,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,Total,186,97,28,42,2
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F,135,39,15,34,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B,51,57,12,8,1
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,S,0,1,1,0,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F-XC,135,21,4,3,14,85,50
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F-DTM,39,5,0,0,5,18,21
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F-DTL,15,10,3,2,5,7,8
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F-IO,34,12,6,0,6,20,14
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,F-II,1,0,0,0,0,1,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B-XC,51,9,3,2,4,26,25
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B-DTM,57,1,0,0,1,30,27
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B-DTL,12,5,4,0,1,6,6
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B-IO,8,0,0,0,0,6,2
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,B-II,1,0,0,0,0,1,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,S-DTM,1,0,0,0,0,1,0
20091018-M-Shanghai_Masters-F-Rafael_Nadal-Nikolay_Davydenko,2,S-DTL,1,0,0,0,0,0,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,Total,153,182,21,57,5
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F,61,45,11,51,4
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B,63,97,8,4,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,S,29,40,2,2,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F-XC,61,22,7,5,10,35,26
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F-DTM,45,3,0,0,3,22,23
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F-DTL,11,2,0,1,1,6,5
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F-IO,51,15,9,2,4,34,17
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,F-II,4,1,1,0,0,2,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B-XC,63,9,3,3,3,37,26
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B-DTM,97,12,0,0,12,47,50
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B-DTL,8,3,1,0,2,4,4
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B-IO,4,0,0,0,0,2,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,B-II,1,0,0,0,0,1,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,S-XC,29,2,0,0,2,12,17
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,S-DTM,40,3,1,0,2,18,22
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,S-DTL,2,0,0,0,0,0,2
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,1,S-IO,2,0,0,0,0,1,1
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,Total,179,157,35,40,3
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F,71,60,18,35,3
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,B,94,82,15,4,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,S,14,15,2,1,0
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F-XC,71,25,7,6,12,36,35
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F-DTM,60,2,0,0,2,31,29
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F-DTL,18,4,0,0,4,8,10
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F-IO,35,4,1,2,1,21,14
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,F-II,3,1,0,0,1,0,3
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,B-XC,94,7,1,1,5,48,46
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,B-DTM,82,2,0,0,2,33,49
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,2,B-DTL,15,9,5,1,3,10,5
