match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20150923-M-St_Petersburg-R16-Andreas_Haider_Maurer-Dominic_Thiem,Andreas Haider Maurer,Dominic Thiem,R,R,20150923,St Petersburg,R16,,,Hard,,3,,Edged
20150921-M-Kaohsiung_CH-R32-Hyeon_Chung-Liang_Chi_Huang,Hyeon Chung,Liang Chi Huang,R,R,20150921,Kaohsiung CH,R32,,Centre,Hard,,3,1,Isaac
20150921-M-Kaohsiung_CH-R32-Chieh_Fu_Wang-Jiri_Vesely,Chieh Fu Wang,Jiri Vesely,R,L,20150921,Kaohsiung CH,R32,,,Hard,,3,1,Isaac
20150921-M-Izmir_CH-SF-Marius_Copil-Farrukh_Dustov,Marius Copil,Farrukh Dustov,R,R,20150921,Izmir CH,SF,,,Hard,,3,1,Isaac
20150921-M-Izmir_CH-R16-Lukas_Lacko-Laurynas_Grigelis,Lukas Lacko,Laurynas Grigelis,R,R,20150921,Izmir CH,R16,,,Hard,,3,1,Isaac
20150914-M-Szczecin_CH-R32-Inigo_Cervantes_Huegun-Vladimir_Ivanov,Inigo Cervantes Huegun,Vladimir Ivanov,R,R,20150914,Szczecin CH,R32,,,Clay,,3,1,Amy
20150914-M-Istanbul_CH-SF-Karen_Khachanov-Yannick_Mertens,Karen Khachanov,Yannick Mertens,R,R,20150914,Istanbul CH,SF,,,Hard,,3,1,Isaac
20150913-M-US_Open-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,20150913,US Open,F,20:00:00,Arthur Ashe,Hard,Eva Asderaki-Moore,5,1,Edo
20150911-M-US_Open-SF-Stan_Wawrinka-Roger_Federer,Stan Wawrinka,Roger Federer,R,R,20150911,US Open,SF,19:00:00,Arthur Ashe,Hard,James Keothavong,5,0,Edo
20150911-M-US_Open-SF-Novak_Djokovic-Marin_Cilic,Novak Djokovic,Marin Cilic,R,R,20150911,US Open,SF,,,Hard,,5,1,Edged
20150910-M-US_Open-QF-Roger_Federer-Richard_Gasquet,Roger Federer,Richard Gasquet,R,R,20150910,US Open,QF,19:25,Arthur Ashe,Hard,Ali Nili,5,1,Edo
20150909-M-US_Open-QF-Novak_Djokovic-Feliciano_Lopez,Novak Djokovic,Feliciano Lopez,R,L,20150909,US Open,QF,22:30,Arthur Ashe,Hard,Damien Dumusois,5,1,Edo
20150908-M-US_Open-R16-Roger_Federer-John_Isner,Roger Federer,John Isner,R,R,20150908,US Open,R16,21:15,Arthur Ashe,Hard,Pascal Maria,5,1,Edo
20150907-M-US_Open-R16-Andy_Murray-Kevin_Anderson,Andy Murray,Kevin Anderson,R,R,20150907,US Open,R16,,Louis Armstrong,Hard,,5,1,Amy
20150905-M-US_Open-R32-Roger_Federer-Philipp_Kohlschreiber,Roger Federer,Philipp Kohlschreiber,R,R,20150905,US Open,R32,13:05,Arthur Ashe,Hard,,5,1,Edo
20150904-M-US_Open-R32-Novak_Djokovic-Andreas_Seppi,Novak Djokovic,Andreas Seppi,R,R,20150904,US Open,R32,4pm,Ashe,Hard,Mohamed Lahyani,5,1,Edo
20150903-M-US_Open-R64-Steve_Darcis-Roger_Federer,Steve Darcis,Roger Federer,R,R,20150903,US Open,R64,19:00:00,Arthur Ashe,Hard,Jake Garner,5,0,Edo
20150903-M-US_Open-R64-Bernard_Tomic-Lleyton_Hewitt,Bernard Tomic,Lleyton Hewitt,R,R,20150903,US Open,R64,,,Hard,,3,1,Amy
20150902-M-US_Open-R64-Fernando_Verdasco-Milos_Raonic,Fernando Verdasco,Milos Raonic,L,R,20150902,US Open,R64,12:30,Grandstand,Hard,,5,1,@CanuckKicker
20150902-M-US_Open-R128-Andy_Murray-Nick_Kyrgios,Andy Murray,Nick Kyrgios,R,R,20150902,US Open,R128,3pm,Ashe,Hard,Carlos Ramos,5,1,Edo
20150901-M-US_Open-R128-Roger_Federer-Leonardo_Mayer,Roger Federer,Leonardo Mayer,R,R,20150901,US Open,R128,14:40,Arthur Ashe,Hard,Eva Asderaki-Moore (nee Asderaki),5,1,Edo
20150831-M-US_Open-R128-Tim_Smyczek-Milos_Raonic,Tim Smyczek,Milos Raonic,R,R,20150831,US Open,R128,14:00,Court 17,Hard,,5,1,@CanuckKicker
20150829-M-Winston_Salem-F-Pierre_Hugues_Herbert-Kevin_Anderson,Pierre Hugues Herbert,Kevin Anderson,R,R,20150829,Winston Salem,F,,,Hard,,3,1,Edged
20150824-M-Manerbio_CH-R32-Antonio_Veic-Andrey_Kuznetsov,Antonio Veic,Andrey Kuznetsov,R,R,20150824,Manerbio CH,R32,,Center,Hard,,3,1,Isaac
20150823-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,20150823,Cincinnati Masters,F,13:10,Center,Hard,Mohamed Lahyani,3,1,Isaac
20150822-M-Cincinnati_Masters-SF-Andy_Murray-Roger_Federer,Andy Murray,Roger Federer,R,R,20150822,Cincinnati Masters,SF,,Center,Hard,Fergus Murphy,3,1,FedFan
20150822-M-Cincinnati_Masters-QF-Roger_Federer-Feliciano_Lopez,Roger Federer,Feliciano Lopez,R,L,20150822,Cincinnati Masters,QF,19:10,Centre,Hard,Mohamed Lahyani,3,1,Edo
20150822-M-Cincinnati-SF-Novak_Djokovic-Alexandr_Dolgopolov,Novak Djokovic,Alexandr Dolgopolov,R,R,20150822,Cincinnati,SF,,Center,Hard,Carlos Bernardes,3,1,Isaac
20150816-M-Canada_Masters-F-Andy_Murray-Novak_Djokovic,Andy Murray,Novak Djokovic,R,R,20150816,Canada Masters,F,15:15,,Hard,,3,1,Lowell
20150815-M-Canada_Masters-SF-Jeremy_Chardy-Novak_Djokovic,Jeremy Chardy,Novak Djokovic,R,R,20150815,Canada Masters,SF,3pm,Centre,Hard,Carlos Bernardes,3,1,Edo
20150815-M-Canada_Masters-SF-Andy_Murray-Kei_Nishikori,Andy Murray,Kei Nishikori,R,R,20150815,Canada Masters,SF,8:15 PM,Stadium,Hard,,3,1,Lowell
20150813-M-Canada_Masters-R16-Novak_Djokovic-Jack_Sock,Novak Djokovic,Jack Sock,R,R,20150813,Canada Masters,R16,12:40,Stadium,Hard,,3,1,Lowell
20150810-M-Prague_CH-Q3-Rogerio_Dutra_Silva-Juan_Carlos_Saez,Rogerio Dutra Silva,Juan Carlos Saez,R,R,20150810,Prague CH,Q3,,Court 1,Clay,,3,1,Isaac
20150809-M-Washington-F-John_Isner-Kei_Nishikori,John Isner,Kei Nishikori,R,R,20150809,Washington,F,3pm,Centre,Hard,Fergus Murphy,3,1,Edo
20150806-M-Washington-R32-Alexandr_Dolgopolov-Ivo_Karlovic,Alexandr Dolgopolov,Ivo Karlovic,R,R,20150806,Washington,R32,0:10,,Hard,Blaze Trifunovski,3,1,ChapelHeel66
20150806-M-Washington-R16-Steve_Johnson-Grigor_Dimitrov,Steve Johnson,Grigor Dimitrov,R,R,20150806,Washington,R16,8:05 PM,,Hard,Mohammed Fitouhi,3,1,ChapelHeel66
20150805-M-Washington-R32-Steve_Johnson-Bernard_Tomic,Steve Johnson,Bernard Tomic,R,R,20150805,Washington,R32,5:45 PM,Grandstand,Hard,,3,1,ChapelHeel66
20150726-M-Umag-F-Joao_Sousa-Dominic_Thiem,Joao Sousa,Dominic Thiem,R,R,20150726,Umag,F,,Ivanisevic,Clay,D. Dumusois,3,1,BG
20150726-M-Bogota-F-Bernard_Tomic-Adrian_Mannarino,Bernard Tomic,Adrian Mannarino,R,L,20150726,Bogota,F,,,Hard,Mohamed Lahyani,3,1,Amy
20150726-M-Bastad-F-Tommy_Robredo-Benoit_Paire,Tommy Robredo,Benoit Paire,R,R,20150726,Bastad,F,14:10,,Clay,Cedric Mourier,3,1,ChapelHeel66
20150725-M-Bogota-SF-Michael_Berrer-Bernard_Tomic,Michael Berrer,Bernard Tomic,L,R,20150725,Bogota,SF,,,Hard,,3,1,Amy
20150712-M-Wimbledon-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,20150712,Wimbledon,F,14:10,Centre,Grass,Ali Nili,5,0,Edo
20150710-M-Wimbledon-SF-Roger_Federer-Andy_Murray,Roger Federer,Andy Murray,R,R,20150710,Wimbledon,SF,16:15,Centre,Grass,Mohamed Lahyani,5,0,Edo
20150710-M-Wimbledon-SF-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Richard Gasquet,R,R,20150710,Wimbledon,SF,13:10,Centre,Grass,Jake Garner,5,0,Edo
20150709-M-Wimbledon-QF-Marin_Cilic-Novak_Djokovic,Marin Cilic,Novak Djokovic,R,R,20150709,Wimbledon,QF,5:00 PM,Centre,Grass,,5,0,Lowell
20150708-M-Wimbledon-QF-Stan_Wawrinka-Richard_Gasquet,Stan Wawrinka,Richard Gasquet,R,R,20150708,Wimbledon,QF,16:30,1,Grass,,5,0,1HandBH
20150708-M-Wimbledon-QF-Roger_Federer-Gilles_Simon,Roger Federer,Gilles Simon,R,R,20150708,Wimbledon,QF,13:10,Court 1,Grass,James Keothavong,5,0,Edo
20150706-M-Wimbledon-R16-Andy_Murray-Ivo_Karlovic,Andy Murray,Ivo Karlovic,R,R,20150706,Wimbledon,R16,14:40,Centre,Grass,,5,0,Lowell
20150704-M-Wimbledon-R32-Samuel_Groth-Roger_Federer,Samuel Groth,Roger Federer,R,R,20150704,Wimbledon,R32,13:20,Centre,Grass,James Keothavong,5,0,Edo
20150702-M-Wimbledon-R64-Sam_Querrey-Roger_Federer,Sam Querrey,Roger Federer,R,R,20150702,Wimbledon,R64,15:15,Centre,Grass,Fergus Murphy,5,0,Edo
20150702-M-Wimbledon-R64-Dustin_Brown-Rafael_Nadal,Dustin Brown,Rafael Nadal,R,L,20150702,Wimbledon,R64,17:05,Centre,Grass,Ali Nili,5,0,1HandBH
20150630-M-Wimbledon-R128-Roger_Federer-Damir_Dzumhur,Roger Federer,Damir Dzumhur,R,R,20150630,Wimbledon,R128,14:10,Centre,Grass,Jake Garner,5,0,Edo
20150626-M-Nottingham-SF-Sam_Querrey-Alexandr_Dolgopolov,Sam Querrey,Alexandr Dolgopolov,R,R,20150626,Nottingham,SF,13:20,Centre,Grass,,3,1,Edo
20150625-M-Nottingham-QF-Denis_Istomin-Leonardo_Mayer,Denis Istomin,Leonardo Mayer,R,R,20150625,Nottingham,QF,13:45,,Grass,Renaud Lichtenstein,3,1,ChapelHeel66
20150624-M-Nottingham-R16-Sam_Querrey-Pablo_Cuevas,Sam Querrey,Pablo Cuevas,R,R,20150624,Nottingham,R16,13:40,,Grass,Richard Haigh,3,1,ChapelHeel66
20150624-M-Nottingham-R16-Marcos_Baghdatis-Alexander_Zverev,Marcos Baghdatis,Alexander Zverev,R,R,20150624,Nottingham,R16,,,Grass,,3,1,1HandBH
20150621-M-Queens_Club-F-Andy_Murray-Kevin_Anderson,Andy Murray,Kevin Anderson,R,R,20150621,Queens Club,F,14:40,,Grass,,3,1,chrisG
20150621-M-Halle-F-Andreas_Seppi-Roger_Federer,Andreas Seppi,Roger Federer,R,R,20150621,Halle,F,13:15,Stadion,Grass,Cedric Mourier,3,1,Edo
20150620-M-Halle-SF-Roger_Federer-Ivo_Karlovic,Roger Federer,Ivo Karlovic,R,R,20150620,Halle,SF,13:10,Stadion,Grass,Manuel Messina,3,1,Edo
20150618-M-Fergana_CH-R16-Ti_Chen-Laurynas_Grigelis,Ti Chen,Laurynas Grigelis,R,R,20150618,Fergana CH,R16,,Center Court,Hard,,3,1,Isaac
20150617-M-Queens_Club-R16-Thanasi_Kokkinakis-Gilles_Simon,Thanasi Kokkinakis,Gilles Simon,R,R,20150617,Queens Club,R16,12:45,,Grass,James Keothavong,3,1,pvtennis
20150615-M-Ilkley_CH-SF-Matthew_Ebden-Ivan_Dodig,Matthew Ebden,Ivan Dodig,R,R,20150615,Ilkley CH,SF,,,Grass,,3,1,Isaac
20150615-M-Ilkey_CH-R32-Yuki_Bhambri-Cameron_Norrie,Yuki Bhambri,Cameron Norrie,R,L,20150615,Ilkey CH,R32,,,Grass,,3,1,Isaac
20150615-M-Halle-R32-Andreas_Haider_Maurer-Dustin_Brown,Andreas Haider Maurer,Dustin Brown,R,R,20150615,Halle,R32,14:00,Centre,Grass,,3,1,Edo
20150613-M-s_Hertogenbosch-SF-Gilles_Muller-David_Goffin,Gilles Muller,David Goffin,L,R,20150613,s Hertogenbosch,SF,,,Grass,Mohamed El Jennati,3,1,pvtennis
20150611-M-s_Hertogenbosch-R16-Roberto_Bautista_Agut-Nicolas_Mahut,Roberto Bautista Agut,Nicolas Mahut,,,20150611,s_Hertogenbosch,R16,,,Grass,,,,Stephen
20150611-M-s_Hertogenbosch-R16-Jurgen_Melzer-David_Goffin,Jurgen Melzer,David Goffin,,,20150611,s_Hertogenbosch,R16,,,Grass,,,,Edo
20150611-M-Stuttgart-R16-Bernard_Tomic-Tommy_Haas,Bernard Tomic,Tommy Haas,R,R,20150611,Stuttgart,R16,,,Grass,Adel Nour,3,1,Amy
20150610-M-Stuttgart-R16-Feliciano_Lopez-Samuel_Groth,Feliciano Lopez,Samuel Groth,L,R,20150610,Stuttgart,R16,,,Grass,,3,1,Jenn
20150609-M-Stuttgart-R32-Jan_Lennard_Struff-Bernard_Tomic,Jan Lennard Struff,Bernard Tomic,R,R,20150609,Stuttgart,R32,,,Grass,Adel Nour,3,1,Amy
20150609-M-Stuttgart-R32-Dustin_Brown-Jerzy_Janowicz,Dustin Brown,Jerzy Janowicz,R,R,20150609,Stuttgart,R32,17:00,Centre,Grass,Manuel Messina,3,1,MaGav
20150608-M-Stuttgart-R16-Andreas_Haider_Maurer-Gael_Monfils,Andreas Haider Maurer,Gael Monfils,R,R,20150608,Stuttgart,R16,,,Grass,,3,1,Isaac
20150608-M-Stuttgart-Q3-Dustin_Brown-Michael_Berrer,Dustin Brown,Michael Berrer,R,L,20150608,Stuttgart,Q3,,,Grass,,3,1,Isaac
20150607-M-Roland_Garros-F-Stan_Wawrinka-Novak_Djokovic,Stan Wawrinka,Novak Djokovic,R,R,20150607,Roland Garros,F,15:10,Philippe Chatrier,Clay,Damien Dumusois,5,0,Edo
20150605-M-Roland_Garros-SF-Novak_Djokovic-Andy_Murray,Novak Djokovic,Andy Murray,R,R,20150605,Roland Garros,SF,5.30pm,Philippe Chatrier,Clay,Pascal Maria,5,0,Edo
20150603-M-Roland_Garros-QF-Roger_Federer-Stan_Wawrinka,Roger Federer,Stan Wawrinka,R,R,20150603,Roland Garros,QF,4pm,Langlen,Clay,Kader Nouni,5,0,Edo
20150603-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Rafael Nadal,R,L,20150603,Roland Garros,QF,,,Clay,,5,0,Amy
20150531-M-Roland_Garros-R16-Roger_Federer-Gael_Monfils,Roger Federer,Gael Monfils,R,R,20150531,Roland Garros,R16,19.20.00,Philippe Chatrier,Clay,Carlos Bernardes,5,0,Edo
20150530-M-Roland_Garros-R32-Nick_Kyrgios-Andy_Murray,Nick Kyrgios,Andy Murray,R,R,20150530,Roland Garros,R32,11:10,Suzanne Lenglen,Clay,Damien Dumusois,5,0,ChapelHeel66
20150529-M-Roland_Garros-R32-Damir_Dzumhur-Roger_Federer,Damir Dzumhur,Roger Federer,R,R,20150529,Roland Garros,R32,14:10,Philippe Chatrier,Clay,,5,0,Edo
20150528-M-Roland_Garros-R64-Jeremy_Chardy-John_Isner,Jeremy Chardy,John Isner,R,R,20150528,Roland Garros,R64,16:40,Court 1 (The Bullring),Clay,Carlos Ramos,5,0,ChapelHeel66
20150526-M-Roland_Garros-R128-Richard_Gasquet-Germain_Gigounon,Richard Gasquet,Germain Gigounon,R,R,20150526,Roland Garros,R128,14:40,Court Suzanne Lenglen,Clay,Gianluca Moscarella,5,0,ChapelHeel66
20150524-M-Roland_Garros-R128-Paul_Henri_Mathieu-Kei_Nishikori,Paul Henri Mathieu,Kei Nishikori,R,R,20150524,Roland Garros,R128,14:50,Suzanne Lenglen,Clay,Jake Garner,5,0,Edo
20150524-M-Nice-F-Leonardo_Mayer-Dominic_Thiem,Leonardo Mayer,Dominic Thiem,R,R,20150524,Nice,F,3:00 PM,Central,Clay,,3,1,Edo
20150523-M-Nice-SF-John_Isner-Dominic_Thiem,John Isner,Dominic Thiem,R,R,20150523,Nice,SF,,Central,Clay,,3,1,BG
20150522-M-Scheveningen-R32-Aleksandr_Nedovyesov-Andrey_Golubev,Aleksandr Nedovyesov,Andrey Golubev,R,R,20150522,Scheveningen,R32,15:09,,Clay,,3,1,Bramre
20150521-M-Nice-QF-Leonardo_Mayer-Juan_Monaco,Leonardo Mayer,Juan Monaco,R,R,20150521,Nice,QF,,,Clay,,3,1,Jenn
