match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,F,35,8,21,17,1
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,B,38,21,11,1,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,S,6,1,2,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,Total,72,22,22,24,5
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,F,29,6,8,21,5
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,B,36,10,6,2,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,S,7,6,8,1,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,32,12,8,12,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,F,14,5,5,12,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,B,17,6,2,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,S,1,1,1,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,37,13,2,6,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,F,21,2,0,6,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,B,8,8,2,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,S,8,3,0,0,0
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tomas Machac,Total,144,44,45,28,0
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tomas Machac,F,42,23,17,16,0
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tomas Machac,B,87,17,22,7,0
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tomas Machac,S,15,4,6,5,0
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tommy Paul,Total,123,52,42,26,6
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tommy Paul,F,39,20,19,24,5
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tommy Paul,B,72,28,18,2,1
20240928-M-Tokyo-R16-Tomas_Machac-Tommy_Paul,Tommy Paul,S,12,4,5,0,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Hubert Hurkacz,Total,41,19,18,18,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Hubert Hurkacz,F,28,7,10,14,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Hubert Hurkacz,B,9,9,4,4,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Hubert Hurkacz,S,4,3,4,0,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Jack Draper,Total,42,27,15,14,2
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Jack Draper,F,17,14,5,10,2
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Jack Draper,B,23,11,10,4,0
20240927-M-Tokyo-R16-Hubert_Hurkacz-Jack_Draper,Jack Draper,S,2,2,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,Total,25,30,5,8,2
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,F,8,11,2,8,2
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,B,11,15,3,0,0
