match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,v1st,108,52,95,52,91,52,3,434
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,v2nd,31,10,27,10,23,10,1,153
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,fh,72,30,64,30,59,30,2,308
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,bh,61,31,55,31,52,31,2,260
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,gs,132,61,118,61,110,61,4,565
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,sl,1,0,1,0,1,0,0,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,D,72,34,63,34,57,34,2,286
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,A,67,28,59,28,57,28,2,301
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4,34,13,26,13,25,13,0,119
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5,62,25,55,25,48,25,4,247
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6,41,24,39,24,39,24,0,207
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4D,22,8,18,8,17,8,0,82
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4A,12,5,8,5,8,5,0,37
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5D,30,13,26,13,21,13,2,113
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5A,32,12,29,12,27,12,2,134
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6D,19,13,18,13,18,13,0,82
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6A,22,11,21,11,21,11,0,125
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Total,112,45,78,43,75,43,4,429
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,v1st,79,29,50,29,49,29,2,288
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,v2nd,31,14,28,14,26,14,2,139
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,fh,42,21,36,21,35,21,2,205
