match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Novak Djokovic,Total,75,57,6,0,12,26,41,15,19
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Novak Djokovic,1,51,41,5,0,11,21,32,6,13
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Novak Djokovic,2,24,16,1,0,1,5,9,9,6
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Filip Misolic,Total,90,52,6,0,13,23,41,20,29
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Filip Misolic,1,54,39,6,0,9,18,24,6,24
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Filip Misolic,2,36,13,0,0,4,5,17,14,5
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Joao Fonseca,Total,84,46,6,7,0,21,28,7,49
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Joao Fonseca,1,59,37,6,7,0,21,22,3,34
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Joao Fonseca,2,25,9,0,0,0,0,6,4,15
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Jack Draper,Total,68,54,8,12,0,29,24,5,39
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Jack Draper,1,40,37,8,9,0,21,14,0,26
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Jack Draper,2,28,17,0,3,0,8,10,5,13
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jannik Sinner,Total,55,46,3,0,15,25,23,8,24
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jannik Sinner,1,35,29,3,0,13,19,17,1,17
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jannik Sinner,2,20,17,0,0,2,6,6,7,7
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jiri Lehecka,Total,81,36,3,0,9,27,50,12,19
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jiri Lehecka,1,51,22,3,0,8,16,31,4,16
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jiri Lehecka,2,30,14,0,0,1,11,19,8,3
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Lorenzo Musetti,Total,115,70,3,0,15,35,66,10,39
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Lorenzo Musetti,1,75,52,3,0,15,27,42,5,28
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Lorenzo Musetti,2,40,18,0,0,0,8,24,5,11
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Mariano Navone,Total,132,68,1,0,6,13,71,17,44
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Mariano Navone,1,98,51,1,0,6,10,53,10,35
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Mariano Navone,2,34,17,0,0,0,3,18,7,9
