match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5a,22,13,0,2,0,6,11,7,0,0,1,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6d,16,4,0,0,1,3,3,2,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6a,18,10,0,0,1,1,5,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,d,18,9,0,2,1,4,9,4,0,0,2,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,a,19,16,0,0,4,5,6,4,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4,16,13,0,1,3,6,3,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5,11,6,0,0,1,1,6,4,0,0,2,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6,10,6,0,1,1,2,6,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4d,4,3,0,1,0,2,0,0,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4a,12,10,0,0,3,4,3,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5d,9,4,0,0,1,1,4,3,0,0,2,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5a,2,2,0,0,0,0,2,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6d,5,2,0,1,0,1,5,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6a,5,4,0,0,1,1,1,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,d,18,10,0,4,0,5,7,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,a,12,6,1,0,2,3,10,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4,8,5,0,3,0,3,3,0,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5,4,3,0,0,0,1,5,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6,18,8,1,1,2,4,9,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4d,8,5,0,3,0,3,0,0,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4a,0,0,0,0,0,0,3,0,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5d,3,2,0,0,0,1,0,0,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5a,1,1,0,0,0,0,5,2,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6d,7,3,0,1,0,1,7,1,0,0,0,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6a,11,5,1,0,2,3,2,0,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,d,18,11,1,0,4,6,11,4,1,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,a,19,10,0,1,0,2,8,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4,11,7,0,1,3,4,4,2,1,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5,3,1,0,0,0,0,6,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6,23,13,1,0,1,4,9,2,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4d,7,4,0,0,3,3,1,1,1,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4a,4,3,0,1,0,1,3,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5d,3,1,0,0,0,0,2,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5a,0,0,0,0,0,0,4,0,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6d,8,6,1,0,1,3,8,2,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6a,15,7,0,0,0,1,1,0,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,d,24,19,0,1,5,8,7,4,0,0,2,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,a,19,10,0,3,1,4,9,4,0,0,2,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4,9,7,0,2,1,5,3,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,5,13,8,0,0,3,3,10,5,0,0,3,4
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6,21,14,0,2,2,4,3,2,0,0,1,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4d,7,5,0,1,1,4,1,0,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4a,2,2,0,1,0,1,2,1,0,0,0,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,5d,5,5,0,0,2,2,3,2,0,0,1,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,5a,8,3,0,0,1,1,7,3,0,0,2,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6d,12,9,0,0,2,2,3,2,0,0,1,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6a,9,5,0,2,0,2,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,d,22,14,0,0,3,3,10,5,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,a,19,17,0,0,1,3,11,5,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4,13,9,0,0,1,3,1,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5,22,17,0,0,2,2,20,10,0,0,0,2
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6,6,5,0,0,1,1,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4d,6,3,0,0,1,1,1,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4a,7,6,0,0,0,2,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5d,11,6,0,0,1,1,9,5,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5a,11,11,0,0,1,1,11,5,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6d,5,5,0,0,1,1,0,0,0,0,0,0
