match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,1,5,41,0,0,38,21,3,2,5,4,25,11,9,4,5,10,3,7
19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,2,5,25,2,0,6,5,19,9,2,0,41,18,16,6,8,18,7,11
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,1,Total,91,5,4,42,33,49,29,5,4,93,41,49,28,16,13,5,4
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,2,Total,93,0,2,62,39,31,13,14,9,91,29,31,18,13,15,6,7
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,1,1,17,0,0,11,9,6,3,0,0,17,12,12,4,8,2,1,1
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,2,1,17,0,0,9,3,8,2,5,2,17,5,4,2,2,5,5,0
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,1,2,36,4,0,15,13,21,13,2,1,40,15,18,12,2,3,1,2
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,2,2,40,0,1,25,18,15,7,3,2,36,10,13,8,5,3,0,2
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,1,3,38,1,4,16,11,22,13,3,3,36,14,19,12,6,8,3,1
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,2,3,36,0,1,28,18,8,4,6,5,38,14,14,8,6,7,1,5
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1,Total,143,9,11,79,61,64,25,11,5,125,48,31,9,13,58,18,29
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,2,Total,125,4,5,79,50,46,27,12,7,143,57,40,23,13,41,16,20
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1,1,52,3,5,28,23,24,10,5,4,40,14,9,0,6,20,8,7
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,2,1,40,1,2,24,15,16,11,3,2,52,19,14,9,4,15,5,8
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1,2,15,2,2,6,4,9,3,2,0,18,2,4,2,0,9,3,4
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,2,2,18,3,0,11,9,7,7,0,0,15,8,8,3,2,4,1,3
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1,3,34,3,1,18,15,16,6,2,1,20,10,8,3,2,9,3,5
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,2,3,20,0,2,15,8,5,2,4,2,34,13,7,4,3,9,6,1
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1,4,42,1,3,27,19,15,6,2,0,47,22,10,4,5,20,4,13
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,2,4,47,0,1,29,18,18,7,5,3,42,17,11,7,4,13,4,8
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,1,Total,90,5,5,48,33,42,20,10,6,109,51,37,21,11,32,7,20
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,2,Total,109,1,9,75,42,34,16,17,12,90,37,21,13,7,40,13,18
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,1,1,30,1,3,11,7,19,9,4,2,29,11,14,9,4,10,2,5
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,2,1,29,0,0,23,15,6,3,1,0,30,14,3,1,2,7,3,4
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,1,2,45,3,2,25,17,20,8,6,4,48,23,14,6,5,15,4,9
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,2,2,48,0,6,30,14,18,11,11,9,45,20,14,9,5,19,4,9
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,1,3,15,1,0,12,9,3,3,0,0,32,17,9,6,2,7,1,6
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,2,3,32,1,3,22,13,10,2,5,3,15,3,4,3,0,14,6,5
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,1,Total,58,5,5,28,19,30,12,5,1,53,16,14,4,5,9,0,4
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,2,Total,53,12,6,27,25,26,12,5,5,58,27,35,8,15,14,4,4
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,1,1,28,2,3,14,9,14,7,3,1,30,10,6,2,2,5,0,2
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,2,1,30,7,3,17,15,13,5,5,5,28,12,17,4,6,7,1,3
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,1,2,30,3,2,14,10,16,5,2,0,23,6,8,2,3,4,0,2
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,2,2,23,5,3,10,10,13,7,0,0,30,15,18,4,9,7,3,1
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,1,Total,99,0,1,75,42,24,14,11,6,72,17,9,3,6,34,22,11
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,2,Total,72,13,1,38,35,34,20,3,3,99,43,35,11,11,31,11,19
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,1,1,40,0,0,31,19,9,5,3,2,23,3,2,1,1,13,8,5
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,2,1,23,6,0,13,13,10,7,0,0,40,16,13,4,3,12,5,7
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,1,2,35,0,1,29,17,6,3,6,4,21,5,4,1,3,9,6,2
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,2,2,21,4,0,12,11,9,5,0,0,35,15,10,4,2,11,4,7
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,1,3,24,0,0,15,6,9,6,2,0,28,9,3,1,2,12,8,4
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,2,3,28,3,1,13,11,15,8,3,3,24,12,12,3,6,8,2,5
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,1,Total,106,9,3,60,45,46,21,8,4,108,41,39,14,16,24,9,12
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2,Total,108,8,3,73,50,35,17,11,8,106,40,35,13,14,31,10,18
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,1,1,26,4,0,13,8,13,9,3,3,17,9,9,1,4,7,4,3
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2,1,17,2,0,9,4,8,4,3,1,26,9,5,1,2,7,2,5
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,1,2,23,4,1,16,13,7,1,1,0,16,4,11,4,3,6,3,2
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2,2,16,0,0,14,10,2,2,0,0,23,9,6,4,2,2,1,1
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,1,3,32,0,2,15,11,17,7,2,0,46,20,11,6,5,8,1,5
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2,3,46,2,3,29,19,17,7,6,5,32,14,13,5,6,17,5,9
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,1,4,25,1,0,16,13,9,4,2,1,29,8,8,3,4,3,1,2
19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,2,4,29,4,0,21,17,8,4,2,2,25,8,11,3,4,5,2,3
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,1,Total,89,3,4,50,30,39,14,14,8,64,14,18,9,6,24,13,7
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,2,Total,64,3,1,36,31,28,19,3,3,89,45,35,22,10,17,7,9
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,1,1,36,1,1,23,15,13,4,6,4,22,5,7,4,2,10,6,3
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,2,1,22,1,1,8,7,14,10,2,2,36,17,11,6,4,6,1,4
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,1,2,33,2,2,19,12,14,7,5,4,27,6,10,5,3,8,3,3
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,2,2,27,2,0,18,15,9,6,1,1,33,14,15,10,3,7,3,4
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,1,3,20,0,1,8,3,12,3,3,0,15,3,1,0,1,6,4,1
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,2,3,15,0,0,10,9,5,3,0,0,20,14,9,6,3,4,3,1
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,1,Total,113,3,2,77,50,36,24,11,9,123,52,47,20,24,16,11,3
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,2,Total,123,2,7,78,52,45,19,14,9,113,39,35,21,12,30,10,13
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,1,1,28,1,1,22,15,6,3,3,3,24,9,11,5,5,4,3,0
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,2,1,24,1,1,18,14,6,1,1,0,28,10,9,5,3,3,0,2
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,1,2,29,0,0,20,11,9,7,2,1,37,13,12,5,7,5,2,3
19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,2,2,37,0,0,21,14,16,10,2,2,29,11,11,8,3,5,1,4
