match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,RTotal1,15,6,5,0,3
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,RTotal2,34,10,1,4,5
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,BPO1,1,1,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,BPO2,6,5,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,GPF1,8,1,0,0,7
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,GPF2,6,3,0,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,DeuceR1,3,1,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,DeuceR2,7,6,0,1,1
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,RTotal1,12,3,2,0,7
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,RTotal2,19,14,1,1,1
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,BPO1,11,3,1,0,2
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,BPO2,3,1,0,1,1
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,GPF1,25,10,2,3,3
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,GPF2,23,5,1,2,2
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,DeuceR1,16,4,0,2,1
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,DeuceR2,6,1,0,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,RTotal1,52,17,3,5,6
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,RTotal2,32,7,1,3,3
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,BPO1,13,3,1,1,6
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,BPO2,14,4,2,1,3
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,GPF1,41,17,5,1,10
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,GPF2,37,14,9,1,11
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,DeuceR1,29,10,7,1,10
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,DeuceR2,16,5,1,1,5
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,RTotal1,83,30,13,3,26
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,RTotal2,67,23,12,3,19
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,BPO1,8,6,3,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,BPO2,7,3,2,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,GPF1,19,6,3,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,GPF2,21,4,0,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,DeuceR1,9,3,0,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,DeuceR2,8,0,0,0,2
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,RTotal1,36,15,6,0,3
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,RTotal2,36,7,2,0,4
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,BPO1,2,1,0,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,BPO2,14,4,1,0,1
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,GPF1,18,4,2,1,5
